Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,0.513,0.636,0.7,0.813,0.628,0.646,0.783,0.84,0.055,0.053,0.05,0.056,0.405,0.408,0.404,0.487,0.412,0.408,0.424,0.518,0.052,0.051,0.052,0.054,0.25,0.248,0.278,0.276,0.232,0.246,0.273,0.309,0.054,0.052,0.059,0.051,0.163,0.17,0.17,0.17,0.177,0.15,0.16,0.166,0.049,0.051,0.056,0.051,0.106,0.098,0.108,0.113,0.103,0.102,0.105,0.118,0.05,0.052,0.05,0.051,0.086,0.077,0.084,0.085,0.08,0.08,0.09,0.09,0.053,0.05,0.05,0.055,0.07,0.07,0.066,0.072,0.084,0.064,0.07,0.069,0.049,0.049,0.05,0.056,0.058,0.057,0.059,0.062,0.06,0.06,0.059,0.072,0.05,0.05,0.052,0.055
1,0.599,0.675,0.854,0.928,0.72,0.735,0.883,0.95,0.054,0.053,0.05,0.056,0.434,0.451,0.509,0.542,0.528,0.538,0.525,0.57,0.052,0.051,0.052,0.053,0.298,0.299,0.337,0.347,0.34,0.345,0.313,0.343,0.053,0.052,0.059,0.051,0.206,0.213,0.202,0.205,0.256,0.223,0.204,0.202,0.049,0.051,0.057,0.05,0.136,0.139,0.127,0.133,0.136,0.154,0.124,0.134,0.05,0.052,0.121,0.051,0.103,0.092,0.093,0.092,0.096,0.098,0.094,0.095,0.052,0.05,0.056,0.054,0.08,0.078,0.071,0.169,0.117,0.075,0.073,0.072,0.049,0.049,0.201,0.082,0.063,0.061,0.062,0.077,0.065,0.064,0.061,0.092,0.05,0.05,0.055,0.055
2,0.609,0.692,0.909,1.002,0.759,0.776,0.946,0.97,0.054,0.053,0.05,0.056,0.439,0.451,0.568,0.58,0.614,0.63,0.597,0.639,0.052,0.051,0.052,0.053,0.298,0.298,0.369,0.391,0.472,0.481,0.368,0.398,0.053,0.052,0.059,0.051,0.219,0.231,0.233,0.242,0.394,0.327,0.244,0.237,0.049,0.051,0.056,0.051,0.158,0.15,0.148,0.153,0.209,0.224,0.153,0.163,0.05,0.052,0.051,0.051,0.114,0.106,0.104,0.1,0.141,0.149,0.112,0.111,0.052,0.05,0.05,0.054,0.09,0.086,0.077,0.082,0.153,0.108,0.082,0.079,0.049,0.049,0.05,0.11,0.233,0.067,0.064,0.106,0.08,0.08,0.066,0.121,0.05,0.05,0.052,0.055
3,0.641,0.686,0.95,1.023,0.752,0.775,0.962,1.002,0.054,0.053,0.05,0.056,0.434,0.445,0.591,0.624,0.626,0.641,0.611,0.667,0.052,0.051,0.052,0.053,0.29,0.286,0.402,0.418,0.525,0.524,0.388,0.435,0.053,0.052,0.059,0.051,0.228,0.238,0.253,0.263,0.418,0.423,0.281,0.274,0.049,0.051,0.056,0.051,0.158,0.147,0.165,0.17,0.292,0.319,0.19,0.196,0.05,0.052,0.051,0.051,0.104,0.115,0.107,0.109,0.198,0.225,0.131,0.124,0.052,0.05,0.05,0.054,0.099,0.095,0.083,0.088,0.198,0.155,0.094,0.09,0.049,0.049,0.05,0.134,0.075,0.071,0.068,0.072,0.116,0.113,0.073,0.156,0.05,0.05,0.052,0.056
4,0.633,0.666,0.958,1.042,0.778,0.77,1.036,1.032,0.054,0.053,0.05,0.055,0.435,0.45,0.612,0.644,0.618,0.618,0.621,0.696,0.052,0.051,0.052,0.053,0.283,0.276,0.419,0.444,0.533,0.536,0.42,0.452,0.053,0.052,0.059,0.051,0.229,0.245,0.272,0.277,0.456,0.459,0.314,0.297,0.049,0.05,0.056,0.051,0.179,0.137,0.179,0.179,0.377,0.407,0.209,0.223,0.05,0.052,0.051,0.051,0.109,0.111,0.116,0.113,0.307,0.326,0.163,0.148,0.052,0.05,0.05,0.054,0.086,0.087,0.088,0.093,0.303,0.229,0.113,0.104,0.049,0.049,0.05,0.154,0.079,0.076,0.071,0.075,0.167,0.167,0.085,0.191,0.05,0.05,0.052,0.055
5,0.625,0.671,0.985,1.074,0.816,0.815,1.048,1.046,0.054,0.053,0.05,0.055,0.43,0.442,0.657,0.669,0.582,0.593,0.641,0.723,0.052,0.051,0.052,0.053,0.276,0.272,0.436,0.461,0.522,0.517,0.414,0.454,0.053,0.052,0.059,0.051,0.231,0.25,0.283,0.289,0.465,0.464,0.32,0.307,0.049,0.051,0.056,0.051,0.168,0.131,0.185,0.192,0.4,0.414,0.211,0.239,0.05,0.052,0.051,0.051,0.133,0.108,0.119,0.124,0.382,0.391,0.17,0.168,0.052,0.05,0.05,0.054,0.103,0.099,0.09,0.097,0.323,0.311,0.119,0.13,0.049,0.049,0.05,0.172,0.08,0.074,0.075,0.078,0.25,0.247,0.102,0.102,0.05,0.05,0.052,0.055
6,0.653,0.669,1.013,1.075,0.835,0.832,1.023,1.042,0.054,0.053,0.05,0.055,0.418,0.428,0.653,0.678,0.587,0.586,0.645,0.744,0.052,0.051,0.052,0.053,0.272,0.264,0.449,0.48,0.486,0.497,0.421,0.449,0.053,0.052,0.06,0.051,0.213,0.209,0.305,0.307,0.453,0.438,0.319,0.29,0.049,0.051,0.056,0.051,0.162,0.133,0.186,0.195,0.417,0.41,0.188,0.24,0.05,0.052,0.051,0.051,0.113,0.109,0.125,0.121,0.403,0.404,0.173,0.196,0.052,0.05,0.05,0.054,0.101,0.099,0.093,0.098,0.369,0.364,0.141,0.149,0.049,0.049,0.05,0.188,0.081,0.08,0.076,0.081,0.325,0.332,0.131,0.142,0.05,0.05,0.052,0.055
7,0.659,0.722,1.031,1.077,0.843,0.847,1.028,1.105,0.055,0.053,0.05,0.055,0.402,0.425,0.663,0.682,0.593,0.611,0.641,0.721,0.052,0.051,0.052,0.053,0.266,0.26,0.463,0.5,0.47,0.467,0.41,0.445,0.054,0.052,0.06,0.051,0.203,0.21,0.304,0.337,0.429,0.416,0.305,0.28,0.049,0.051,0.056,0.051,0.161,0.147,0.177,0.184,0.414,0.401,0.204,0.236,0.05,0.052,0.051,0.051,0.114,0.124,0.132,0.128,0.399,0.418,0.191,0.176,0.052,0.05,0.05,0.054,0.105,0.101,0.1,0.102,0.377,0.381,0.15,0.162,0.049,0.049,0.05,0.198,0.085,0.081,0.072,0.078,0.36,0.363,0.136,0.163,0.05,0.05,0.052,0.055
8,0.701,0.761,1.01,1.111,0.853,0.86,1.078,1.059,0.054,0.053,0.05,0.055,0.391,0.42,0.677,0.697,0.619,0.636,0.669,0.723,0.052,0.051,0.052,0.053,0.259,0.255,0.485,0.505,0.462,0.468,0.441,0.447,0.053,0.052,0.06,0.051,0.195,0.195,0.316,0.34,0.413,0.398,0.298,0.292,0.049,0.051,0.056,0.05,0.178,0.153,0.194,0.2,0.392,0.384,0.205,0.239,0.05,0.052,0.051,0.051,0.121,0.124,0.128,0.131,0.387,0.402,0.206,0.194,0.052,0.05,0.05,0.054,0.104,0.097,0.089,0.096,0.379,0.378,0.166,0.152,0.049,0.049,0.05,0.216,0.084,0.078,0.072,0.079,0.367,0.369,0.154,0.172,0.05,0.05,0.052,0.055
9,0.706,0.768,1.002,1.079,0.863,0.871,1.071,1.108,0.055,0.053,0.05,0.055,0.386,0.407,0.697,0.702,0.643,0.656,0.725,0.741,0.052,0.051,0.052,0.053,0.258,0.247,0.5,0.514,0.472,0.482,0.44,0.45,0.053,0.052,0.06,0.051,0.193,0.196,0.328,0.35,0.381,0.376,0.304,0.29,0.049,0.051,0.056,0.051,0.18,0.148,0.217,0.2,0.367,0.368,0.199,0.255,0.05,0.052,0.051,0.051,0.125,0.113,0.131,0.141,0.374,0.373,0.212,0.204,0.052,0.05,0.05,0.054,0.1,0.097,0.097,0.105,0.367,0.367,0.168,0.165,0.049,0.049,0.05,0.227,0.088,0.081,0.081,0.083,0.369,0.366,0.162,0.17,0.05,0.05,0.052,0.055
10,0.707,0.773,1.022,1.081,0.872,0.881,1.078,1.086,0.054,0.053,0.05,0.055,0.386,0.409,0.691,0.726,0.657,0.669,0.714,0.752,0.052,0.051,0.052,0.053,0.262,0.246,0.502,0.526,0.504,0.511,0.422,0.447,0.053,0.052,0.06,0.051,0.179,0.2,0.35,0.373,0.382,0.386,0.305,0.294,0.049,0.051,0.056,0.051,0.179,0.146,0.199,0.207,0.342,0.342,0.208,0.274,0.05,0.052,0.051,0.051,0.125,0.116,0.141,0.137,0.351,0.351,0.219,0.206,0.052,0.05,0.05,0.054,0.101,0.099,0.097,0.107,0.356,0.353,0.176,0.169,0.049,0.049,0.05,0.24,0.085,0.08,0.077,0.088,0.363,0.357,0.168,0.184,0.05,0.05,0.052,0.055
